Location group,# Exams,av wRVU,40th,50th,60th,70th,Exam Description,Comments
ANG7050,18,2.68,1800,1800,1800,1800,ANG Y90 PLANNING,
ANG7051,15,20.37,1800,1800,1800,1800,ANG Y90 TREATMENT,
ANG8001,188,8.46,3600,3600,3600,3600,ANG A-V SHUNT,
ANG8002,2,14.68,1200,1200,1200,1200,ANG AORTA,
ANG8005,2,13.04,1200,1200,1200,1200,,
ANG8007,3,9.24,1200,1200,1200,1200,,
ANG8008,3,3.47,1200,1200,1200,1200,,
ANG8009,38,2.41,600,600,600,600,ANG CHECK/CHANGE PERC DRAIN,
ANG8010,168,4.22,1800,1800,1800,1800,ANG NEPHROSTOMY PLACEMENT,
ANG8012,91,20.26,1800,1800,1800,1800,ANG VASCULAR EMBOLIZATION,
ANG8013,17,15.13,1800,1800,1800,1800,ANG VASCULAR INFUSION,
ANG8014,61,6.38,600,600,600,600,ANG VENA CAVA FILTER PLACEMENT,
ANG8015,1,10.04,600,600,600,600,ANG VENOGRAPHY,
ANG8016,261,6.78,900,900,900,1200,ANG OTHER,
ANG8017,11,3.82,900,900,900,1200,ANG PICC LINE PLACEMENT,
ANG8018,12,21.18,1800,1800,1800,1800,ANG TACE,
ANG8026,424,5.73,900,900,900,1200,ANG TUNNEL CATHETER PLACEMENT,
ANG8027,123,2.28,600,600,600,600,ANG TUNNEL CATHETER REMOVAL,
ANG8032,49,11.85,1200,1200,1200,1200,ANG PERC BILIARY DRAIN,
ANG8034,25,8.24,600,600,600,600,ANG VENA CAVA FILTER REMOVAL,
ANG8036,188,2.07,900,900,900,1200,ANG NEPHROSTOMY EXCHANGE,
ANG8037,13,1.1,600,600,600,600,ANG NEPHROSTOMY REMOVAL,
ANG8038,24,11.81,1200,1200,1200,1200,ANG PA LYSIS,
ANG8039,19,2.49,600,600,600,600,ANG PA LYSIS REMOVAL,
ANG8040,3,2.28,600,600,600,600,ANG PICC LINE REMOVAL,
ANG8041,14,21.67,1200,1200,1200,1200,ANG POWER PORT EXCHANGE,
ANG8042,206,3.35,600,600,600,600,ANG POWER PORT REMOVAL,
ANG8043,68,3.86,1200,1200,1200,1200,ANG TUNNEL CATHETER EXCHANGE,
ANG8044,17,2.68,1200,1200,1200,1200,ANG TEMP DIALYSIS CATHETER PLACEMENT,
ANG8045,13,7.99,1800,1800,1800,1800,ANG TIPS/DIPPS,
ANG8046,8,23.4,1800,1800,1800,1800,ANG VISCERAL ARTERIOGRAM,
ANG8047,24,8.24,1800,1800,1800,1800,ANG VERTEBRAL AUGMENTATION/KYPHOPLASTY,
ANG8049,4,9.08,1200,1200,1200,1200,ANG TRANSJUGULAR LIVER BIOSPY,
ANG8050,83,3.93,1200,1200,1200,1200,ANG GASTROSTOMY TUBE PLACEMENT,
ANG8051,8,2.05,1200,1200,1200,1200,ANG EPIDURAL STEROID INJECTION (ESI),
ANG8055,585,6.13,900,1200,1200,1200,ANG POWER PORT PLACEMENT,
ANG8056,22,0.85,600,600,600,600,ANG PORT DYE STUDY,
CAT0001,836,2.01,521,615,746,1051,CT UROGRAM W/WO IV CONTRAST,
