Exam Code,Exam Description,Subspecialty,Comments
ANG8003,ANG CORONARY,Non-Radiology,
ANG8004,ANG CRANIAL,Non-Radiology,
ANG8005,ANG PULMONARY,Non-Radiology,These are all associated with "Physician Attending" instead of IR rads
ANG8007,ANG PERIPHERAL EXTREMITY,Non-Radiology,These are all associated with "Physician Attending" instead of IR rads
ANG8011,ANG PTCA,Non-Radiology,
ANG8020,ANG PFO CLOSURE,Non-Radiology,
ANG8021,ANG TAVR,Non-Radiology,
ANG8022,ANG EP VTACH,Non-Radiology,
ANG8023,ANG EP STUDY,Non-Radiology,
ANG8024,ANG PACEMAKER INTERVENTION,Non-Radiology,
ANG8025,ANG ICD INTERVENTION,Non-Radiology,
ANG8028,ANG CAROTID STENT,Non-Radiology,
ANG8029,ANG PERIPHERAL INTERVENTION,Non-Radiology,These are all associated with "Physician Attending" instead of IR rads
ANG8035,ANG EVAR,Non-Radiology,
ANG8048,ANG IV ABLATION,Non-Radiology,These are all associated with "Physician Attending" instead of IR rads
ANG8060,ANG BI-V PPM/ICD INSERT/UPGRADE,Non-Radiology,
ANG8064,ANG LEFT ATRIAL APPENDAGE OCCLUSION - LAAO,Non-Radiology,
ANG8070,ANG EP SUPRAVENTRICULAR TACHYCARDIA ABLATION,Non-Radiology,
ANG8071,ANG EP ATRIAL FIBRILLATION ABLATION,Non-Radiology,
ANG8072,ANG EP ATRIAL FLUTTER ABLATION,Non-Radiology,
ANG8074,ANG EP PVC ABLATION,Non-Radiology,
ANG8075,ANG EP AV NODAL ABLATION,Non-Radiology,
ANG8076,ANG EP AV NODE WITH IMPLANT,Non-Radiology,
ANG8099,ANG LEAD EXTRACTION,Non-Radiology,
CAT6796,CT INJ/ ASPIRATION INTERMEDIATE  JOINT,MSK,One done by Burrows
CAT6840,CT STEREOTACTIC LOCALIZATION,Angio,Kharoti did one
CAT6851,CT 3D RENDERING FROM SCANNER,General CT,
CAT6852,CT 3D RENDERING/ ADV WORKSTATION,General CT,
CAT6998,CT RESCHD XLD DEFERRED EXAM,Non-Radiology,
CT ABD W,CT ABDOMEN W CONTRAST,General CT,
CT ABD WO,CT ABDOMEN WO CONTRAST,General CT,
CT ABD WW,CT ABDOMEN WWO CONTRAST,General CT,
CT AP W,CT ABDOMEN/PELVIS W CONTRAST,General CT,
CT AP WO,CT ABDOMEN/PELVIS WO CONTRAST,General CT,
CT AP WWO,CT ABDOMEN/PELVIS WWO CONTRAST,General CT,
CT CAPW,CT CHEST/ABDOMEN/PELVIS W CONTRAST,General CT,
