,Mon,Tue,Wed,Thu,Fri,Sat,Sun
BR/US,16052.775966906656,16960.122120752796,16143.72556902869,15480.155454086145,14893.93246558042,,
Call 1,,,,,,21648.076923076962,23998.08000000001
Call 2,,,,,,12763.653846153837,14317.704615384617
EVE,19158.153846153895,18585.527093596094,18708.12068965521,18746.502298850566,18438.20689655177,24197.636923077047,24873.83999999994
IR1,9964.788177339891,11995.795187571055,10387.586206896547,10039.411494252872,9524.464102564103,,
IR2,12651.872891246674,14497.747252747242,13258.933497536946,12346.618390804602,12885.356321839081,,
MED,16726.653846153837,18121.107142857163,15346.931034482763,15010.633333333322,16179.448275862076,,
MSK,34249.93313335046,25738.236242632476,24611.88317328801,24146.85057887094,24648.72414208933,,
NM,22585.23144483338,21205.632569100067,22307.024952578668,21771.399336815117,22035.54761267718,,
Neuro 1,15789.307434299877,15145.485036702425,15817.914839658091,16274.38454409159,14394.956957884693,,
Neuro 2,14956.793979818232,,,,,,
Non-Radiologist Interpreted,9.923076923076923,6.142857142857143,11.862068965517242,68.6,8.896551724137932,9.923076923076923,0
OP1,20183.60118701323,,,,,,
OP2,20329.80503978781,,,,,,
OVN,18657.244505494513,18991.114532019717,17676.527586206896,19348.27586206899,21113.74005305044,19869.06923076924,15581.052307692325
PA Clinic,546.6153846153845,807.107142857143,829.5862068965516,1061.9,1353.2068965517249,,
PA-GI,13308.999999999978,15621.42857142858,14982.379310344862,14592.266666666666,14073.344827586234,,
PA-US,8445.576923076915,7242.285714285712,7396.689655172417,6907.333333333333,7361.275862068973,,
PA-Weekend,,,,,,8614.65384615384,7933.559999999999
SC-Main,18391.688721232742,21876.58318883417,19712.944689402524,18965.164229632443,20247.827448023218,,
SRC,15500.8646532206,17984.053457542228,16388.36872847817,16426.09631468508,17479.92045261611,,
Schedule Blocks,648.0495829859054,607.3847478210704,789.1384424023513,879.9752240115465,563.0349941264891,9.692307692307692,0
Subspecialty Work,4293.230769230769,4261.107142857143,4584.793103448276,3616.133333333334,2984.2068965517246,164.30769230769232,406.08
Swing,16286.076923076891,15990.571428571453,15340.931034482765,14579.833333333303,14880.551724137926,,
TPC,20211.595273551375,23100.761857707534,25056.456438988298,22028.56128299489,22721.679673799452,,
WVH,17032.47928634583,20215.442363268914,18269.286148793737,18512.99099280031,18332.126624984216,,
