,Mon,Tue,Wed,Thu,Fri,Sat,Sun
BR/US,68.4382773777947,72.38330485032206,69.87504130352403,68.2206619931793,66.0953861311103,,
Call 1,,,,,,81.8123076923079,91.27880000000012
Call 2,,,,,,52.724615384615454,58.279984615384684
EVE,82.84000000000026,80.88652709359597,79.70619540229879,81.62281609195404,80.87838196286467,99.36935384615418,101.85178461538462
IR1,50.31903088291023,49.57836206896551,46.98976436781608,46.24650574712641,46.49469938107871,,
IR2,24.623563395225464,36.465741758241734,36.84463054187188,34.01824137931036,35.460298850574695,,
MED,66.05923076923091,74.15214285714293,61.144482758620576,58.9576666666667,63.95241379310334,,
MSK,64.39228091549181,67.25244576858115,65.26670306301087,64.76642637992381,63.955460862682436,,
MSK Weekend AH0C,,,,,,,26.176268718189718
NM,49.366483189823114,46.01020245331878,50.23562780383034,46.24672222090754,47.68880268067765,,
Neuro 1,73.02756951068862,70.06831711766492,72.84447570046152,75.18718095497701,67.59575566762075,,
Neuro 2,66.73513116135305,,,,,,
Non-Radiologist Interpreted,0.02076923076923077,0.012857142857142857,0.02482758620689655,0.055999999999999994,0.018620689655172412,0.02076923076923077,0
OP1,,,,,,66.2509943222905,
OP2,,,,,,,67.40770557029181
OVN,77.57642857142866,78.86827586206898,73.36566666666663,79.06757471264365,88.04405835543778,81.99638461538471,64.40035384615402
PA Clinic,1.0065384615384616,1.8703571428571428,1.7251724137931033,1.9210000000000003,3.589310344827587,,
PA-GI,12.04653846153845,13.579642857142872,12.615862068965521,10.889000000000005,11.282413793103457,,
PA-US,24.616923076923058,23.467857142857138,22.62379310344825,23.076999999999984,25.096206896551692,,
PA-Weekend,,,,,,14.430769230769222,13.430800000000005
SC-Main,87.69594699507387,99.33064763925722,94.22444263736253,90.78834575723134,92.68988598711623,,
SRC,86.48092530680718,92.08878244966424,86.77195978956568,85.96259197347388,89.33575289301395,,
Schedule Blocks,2.203883685592827,1.9647078614170028,2.0945600781657716,2.104755480464622,1.7731807678209437,0.038461538461538464,0
Subspecialty Work,16.759999999999998,15.002857142857138,14.350344827586209,12.891000000000004,12.830689655172414,0.8523076923076923,2.3808
Swing,59.8715384615385,60.06964285714284,56.68931034482748,53.98100000000007,55.6458620689654,,
TPC,62.85076313839041,74.91050579854928,79.67540538172466,72.46406219617467,74.82365989732405,,
WVH,53.691331287103765,72.45050161677406,65.91815224201088,68.12356028798787,67.10618097764309,,
