,Mon,Tue,Wed,Thu,Fri,Sat,Sun
BR/US,16052.775966906655,16960.1221207528,16143.725569028687,15480.155454086147,14893.93246558042,,
Call 1,,,,,,21648.076923076962,23998.08
Call 2,,,,,,12763.653846153837,14317.704615384613
EVE,19158.153846153895,18585.527093596098,18708.1206896552,18746.502298850566,18438.20689655177,24197.636923077047,24873.83999999994
IR1,9964.78817733989,11995.795187571055,10387.586206896547,10039.411494252874,9524.464102564101,,
IR2,12651.872891246674,14497.74725274724,13258.933497536947,12346.618390804602,12885.356321839083,,
MED,16726.653846153837,18121.107142857167,15346.931034482765,15010.63333333332,16179.448275862076,,
MSK,34249.93313335047,25738.23624263247,24611.883173288017,24146.850578870948,24648.724142089322,,
NM,22585.23144483338,21205.632569100064,22307.024952578664,21771.399336815117,22035.54761267718,,
Neuro 1,15789.307434299875,15145.485036702421,15817.914839658088,16274.384544091588,14394.95695788469,,
Neuro 2,14956.793979818234,,,,,,
Non-Radiologist Interpreted,9.923076923076923,6.142857142857143,11.862068965517242,68.6,8.896551724137932,9.923076923076923,0
OP1,20183.60118701323,,,,,,
OP2,20329.805039787814,,,,,,
OVN,18657.244505494516,18991.11453201973,17676.527586206892,19348.275862068993,21113.740053050442,19869.069230769237,15581.052307692324
PA Clinic,546.6153846153846,807.1071428571429,829.5862068965516,1061.9,1353.2068965517246,,
PA-GI,13308.999999999978,15621.42857142858,14982.379310344864,14592.266666666665,14073.344827586234,,
PA-US,8445.576923076915,7242.285714285712,7396.689655172417,6907.333333333334,7361.275862068971,,
PA-Weekend,,,,,,8614.65384615384,7933.559999999999
SC-Main,18391.688721232746,21876.583188834175,19712.944689402528,18965.164229632443,20247.827448023214,,
SRC,15500.864653220602,17984.05345754223,16388.368728478166,16426.096314685077,17479.920452616105,,
Schedule Blocks,648.0495829859054,607.3847478210704,789.1384424023513,879.9752240115465,563.0349941264891,9.692307692307692,0
Subspecialty Work,4293.230769230769,4261.107142857143,4584.793103448276,3616.1333333333337,2984.2068965517246,164.30769230769232,406.08
Swing,16286.076923076895,15990.571428571451,15340.931034482765,14579.833333333307,14880.551724137928,,
TPC,20211.59527355138,23100.76185770753,25056.456438988298,22028.56128299489,22721.679673799452,,
WVH,17032.47928634583,20215.442363268903,18269.286148793737,18512.9909928003,18332.126624984212,,
