,Mon,Tue,Wed,Thu,Fri,Sat,Sun
BR/US,68.43827737779472,72.38330485032206,69.87504130352403,68.2206619931793,66.09538613111029,,
Call 1,,,,,,81.81230769230791,91.27880000000012
Call 2,,,,,,52.72461538461545,58.279984615384684
EVE,83.1653846153849,81.1650985221674,80.03378160919537,81.78448275862073,80.99045092838188,99.36935384615416,101.85178461538464
IR1,50.319030882910226,49.578362068965504,46.98976436781607,46.24650574712641,46.4946993810787,,
IR2,30.203178779840847,36.46574175824173,36.84463054187189,34.01824137931036,35.460298850574695,,
MED,66.08769230769245,74.17857142857149,61.144482758620576,58.98233333333337,63.95241379310334,,
MSK,68.0148258746819,79.19401962950283,76.91288946656232,76.46923429414852,75.85838371943589,,
NM,49.583406266746195,46.06734531046165,50.360455390037245,46.265388887574204,47.788113025505226,,
Neuro 1,73.0275695106886,70.0683171176649,72.84447570046149,75.18718095497702,67.59575566762074,,
Neuro 2,66.73513116135308,,,,,,
Non-Radiologist Interpreted,0.02076923076923077,0.012857142857142857,0.02482758620689655,0.055999999999999994,0.018620689655172412,0.02076923076923077,0
OP1,66.2509943222905,,,,,,
OP2,67.21805039787803,,,,,,
OVN,77.57642857142865,78.86827586206894,73.36566666666661,79.06757471264365,88.04405835543784,81.99638461538468,64.40035384615399
PA Clinic,1.0065384615384616,1.8703571428571428,1.725172413793103,1.9210000000000003,3.589310344827587,,
PA-GI,12.04653846153845,13.579642857142874,12.61586206896552,10.889000000000005,11.282413793103455,,
PA-US,24.616923076923058,23.467857142857135,22.623793103448243,23.076999999999984,25.09620689655169,,
PA-Weekend,,,,,,14.430769230769222,13.430800000000003
SC-Main,87.69594699507388,99.33064763925722,94.22444263736253,90.78834575723135,92.68988598711623,,
SRC,98.60098858835327,80.49154924808316,75.17472658798462,74.36535877189283,77.73851969143287,,
Schedule Blocks,2.203883685592827,1.9647078614170026,2.094560078165771,2.104755480464622,1.7731807678209435,0.038461538461538464,0
Subspecialty Work,16.759999999999998,15.002857142857138,14.350344827586209,12.891000000000004,12.830689655172414,0.8523076923076923,2.3808
Swing,59.24461538461543,59.65928571428571,56.19034482758611,53.63266666666676,55.21206896551712,,
TPC,62.85076313839042,74.91050579854927,79.67540538172466,72.46406219617465,74.82365989732403,,
WVH,58.25748513325763,72.45050161677405,65.91815224201089,68.12356028798789,67.1061809776431,,
